MeshCode,dB(sec),dL(sec),dH(m),lon_min,lat_min,lon_max,lat_max
36230600,-0.02924, 0.02056, 0.06370,123.75,24.0,123.7625,24.0083333333
36230605,-0.02892, 0.02062, 0.06297,123.8125,24.0,123.825,24.0083333333
36230555,-0.02962, 0.02030, 0.06292,123.6875,24.0416666665,123.7,24.0499999998
36230650,-0.02909, 0.02060, 0.06310,123.75,24.0416666665,123.7625,24.0499999998
36230655,-0.02869, 0.02072, 0.06253,123.8125,24.0416666665,123.825,24.0499999998
36230750,-0.02827, 0.02042, 0.05916,123.875,24.0416666665,123.8875,24.0499999998
36231600,-0.02901, 0.02048, 0.06162,123.75,24.0833333333,123.7625,24.0916666666
36231605,-0.02855, 0.02059, 0.06084,123.8125,24.0833333333,123.825,24.0916666666
36231650,-0.02899, 0.02021, 0.05928,123.75,24.1249999998,123.7625,24.1333333331
36231655,-0.02851, 0.02025, 0.05798,123.8125,24.1249999998,123.825,24.1333333331
36232700,-0.02823, 0.01977, 0.05411,123.875,24.1666666666,123.8875,24.1749999999
36232705,-0.02797, 0.01955, 0.05219,123.9375,24.1666666666,123.95,24.1749999999
36242000,-0.02755, 0.01931, 0.04949,124.0,24.1666666666,124.0125,24.1749999999
36242005,-0.02712, 0.01906, 0.04662,124.0625,24.1666666666,124.075,24.1749999999
36412305, 0.00328,-0.01988,-0.00351,141.4375,24.1666666666,141.45,24.1749999999
36412400, 0.00345,-0.01990,-0.00138,141.5,24.1666666666,141.5125,24.1749999999
36232555,-0.02967, 0.01945, 0.05573,123.6875,24.2083333331,123.7,24.2166666664
36232650,-0.02902, 0.01954, 0.05398,123.75,24.2083333331,123.7625,24.2166666664
36232655,-0.02853, 0.01955, 0.05274,123.8125,24.2083333331,123.825,24.2166666664
36232750,-0.02816, 0.01946, 0.05143,123.875,24.2083333331,123.8875,24.2166666664
36232755,-0.02794, 0.01928, 0.05011,123.9375,24.2083333331,123.95,24.2166666664
36242050,-0.02750, 0.01908, 0.04772,124.0,24.2083333331,124.0125,24.2166666664
36242055,-0.02703, 0.01886, 0.04505,124.0625,24.2083333331,124.075,24.2166666664
36412355, 0.00325,-0.01988,-0.00395,141.4375,24.2083333331,141.45,24.2166666664
36412450, 0.00343,-0.01990,-0.00154,141.5,24.2083333331,141.5125,24.2166666664
36233500,-0.03046, 0.01905, 0.05570,123.625,24.25,123.6375,24.2583333333
36233505,-0.02972, 0.01915, 0.05348,123.6875,24.25,123.7,24.2583333333
36233600,-0.02904, 0.01919, 0.05131,123.75,24.25,123.7625,24.2583333333
36233605,-0.02852, 0.01919, 0.04992,123.8125,24.25,123.825,24.2583333333
36233700,-0.02810, 0.01912, 0.04868,123.875,24.25,123.8875,24.2583333333
36233705,-0.02790, 0.01898, 0.04787,123.9375,24.25,123.95,24.2583333333
36243000,-0.02744, 0.01882, 0.04580,124.0,24.25,124.0125,24.2583333333
36243005,-0.02694, 0.01864, 0.04334,124.0625,24.25,124.075,24.2583333333
36243100,-0.02645, 0.01845, 0.04070,124.125,24.25,124.1375,24.2583333333
36413305, 0.00323,-0.01988,-0.00423,141.4375,24.25,141.45,24.2583333333
36413400, 0.00344,-0.01990,-0.00151,141.5,24.25,141.5125,24.2583333333
36233550,-0.03054, 0.01880, 0.05394,123.625,24.2916666665,123.6375,24.2999999998
36233555,-0.02978, 0.01884, 0.05126,123.6875,24.2916666665,123.7,24.2999999998
36233650,-0.02907, 0.01885, 0.04867,123.75,24.2916666665,123.7625,24.2999999998
36233655,-0.02852, 0.01883, 0.04711,123.8125,24.2916666665,123.825,24.2999999998
36233750,-0.02805, 0.01879, 0.04598,123.875,24.2916666665,123.8875,24.2999999998
36233755,-0.02786, 0.01868, 0.04560,123.9375,24.2916666665,123.95,24.2999999998
36243050,-0.02737, 0.01856, 0.04384,124.0,24.2916666665,124.0125,24.2999999998
36243055,-0.02684, 0.01841, 0.04161,124.0625,24.2916666665,124.075,24.2999999998
36243150,-0.02631, 0.01824, 0.03906,124.125,24.2916666665,124.1375,24.2999999998
36243155,-0.02584, 0.01805, 0.03660,124.1875,24.2916666665,124.2,24.2999999998
36243250,-0.02548, 0.01783, 0.03454,124.25,24.2916666665,124.2625,24.2999999998
36413355, 0.00322,-0.01988,-0.00434,141.4375,24.2916666665,141.45,24.2999999998
36234500,-0.03061, 0.01854, 0.05226,123.625,24.3333333333,123.6375,24.3416666666
36234505,-0.02984, 0.01854, 0.04915,123.6875,24.3333333333,123.7,24.3416666666
36234600,-0.02907, 0.01850, 0.04577,123.75,24.3333333333,123.7625,24.3416666666
36234605,-0.02853, 0.01848, 0.04434,123.8125,24.3333333333,123.825,24.3416666666
36234700,-0.02802, 0.01846, 0.04339,123.875,24.3333333333,123.8875,24.3416666666
36234705,-0.02781, 0.01839, 0.04340,123.9375,24.3333333333,123.95,24.3416666666
