lon,lat,mag,mesh_code
148.9375,45.5417,8.5,684827
148.8125,45.5417,8.67,684826
148.6875,45.5417,8.67,684825
148.5625,45.5417,8.67,684824
148.9375,45.4583,8.5,684817
148.8125,45.4583,8.5,684816
148.6875,45.4583,8.67,684815
148.5625,45.4583,8.67,684814
148.4375,45.4583,8.67,684813
148.9375,45.375,8.5,684807
148.8125,45.375,8.5,684806
148.6875,45.375,8.67,684805
148.5625,45.375,8.67,684804
148.4375,45.375,8.67,684803
148.0625,45.375,8.83,684800
147.9375,45.4583,8.83,684717
147.9375,45.375,8.83,684707
147.8125,45.375,8.83,684706
142.0625,45.4583,10.17,684210
142.1875,45.375,10.5,684201
142.0625,45.375,10.33,684200
141.9375,45.5417,10.33,684127
141.9375,45.4583,10.33,684117
141.8125,45.4583,10.5,684116
141.6875,45.4583,10.5,684115
141.0625,45.4583,9.17,684110
141.9375,45.375,10.33,684107
141.8125,45.375,10.5,684106
141.6875,45.375,10.67,684105
141.0625,45.375,9.33,684100
140.9375,45.5417,9.5,684027
140.9375,45.4583,9.17,684017
140.9375,45.375,9.17,684007
148.8125,45.2917,8.5,674876
148.6875,45.2917,8.5,674875
148.5625,45.2917,8.67,674874
148.4375,45.2917,8.67,674873
148.3125,45.2917,8.67,674872
148.1875,45.2917,8.67,674871
148.0625,45.2917,8.67,674870
148.4375,45.2083,8.67,674863
148.3125,45.2083,8.67,674862
148.1875,45.2083,8.67,674861
148.0625,45.2083,8.67,674860
148.1875,45.125,8.67,674851
148.0625,45.125,8.67,674850
148.0625,45.0417,8.67,674840
147.9375,45.2917,8.83,674777
147.8125,45.2917,8.83,674776
147.9375,45.2083,8.67,674767
147.8125,45.2083,8.83,674766
147.6875,45.2083,8.83,674765
147.9375,45.125,8.67,674757
147.8125,45.125,8.83,674756
147.6875,45.125,8.83,674755
147.5625,45.125,8.83,674754
147.4375,45.125,8.83,674753
147.9375,45.0417,8.67,674747
147.8125,45.0417,8.67,674746
147.6875,45.0417,8.83,674745
147.5625,45.0417,8.83,674744
147.9375,44.9583,8.67,674737
147.8125,44.9583,8.67,674736
147.6875,44.9583,8.67,674735
147.5625,44.9583,8.83,674734
147.4375,44.9583,8.83,674733
147.6875,44.875,8.67,674725
147.5625,44.875,8.67,674724
147.4375,44.875,8.83,674723
147.3125,44.875,8.83,674722
147.5625,44.7917,8.67,674714
147.4375,44.7917,8.67,674713
147.3125,44.7917,8.83,674712
147.1875,44.7917,8.83,674711
147.0625,44.7917,8.83,674710
147.4375,44.7083,8.67,674703
147.3125,44.7083,8.83,674702
147.1875,44.7083,8.83,674701
142.3125,45.2917,11,674272
142.1875,45.2917,10.83,674271
142.0625,45.2917,10.5,674270
142.3125,45.2083,11,674262
142.1875,45.2083,11,674261
142.0625,45.2083,10.67,674260
142.4375,45.125,10.33,674253
142.3125,45.125,10.83,674252
142.1875,45.125,10.83,674251
